CNPPD1,RPA2
ADAM15,RPA2
LSM12,RPA2
DDX11,RPA2
EML3,RPA2
B4GALT3,RPA2
PRKCSH,RPA2
NUDT3,RPA2
CNP,RPA2
IKBKG,RPA2
FAM189B,RPA2
MGAT1,RPA2
NDST1,RPA2
PKMYT1,RPA2
TCOF1,RPA2
RPA2,RPA2
PITPNM1,RPA2
PSD4,RPA2
TAZ,RPA2
CASP2,RPA2
FKBP15,RPA2
GHITM,RPA2
PTPN9,RPA2
KHNYN,RPA2
PFDN1,RPA2
PRPH,RPA2
IGSF9B,RPA2
PCBP3,RPA2
USP19,RPA2
CNOT4,RPA2
CNTN1,RPA2
GSK3A,RPA2
GTF2F1,RPA2
M6PR,RPA2
ORC1,RPA2
RXRB,RPA2
USP11,RPA2
ZBED1,RPA2
MVK,RPA2
PPP1R10,RPA2
MCRS1,RPA2
WWOX,RPA2
ARPC4,RPA2
SMARCD1,RPA2
GRK6,RPA2
DDX18,RPA2
TIMM17A,RPA2
CAPRIN1,RPA2
ARL6IP1,CDK2
AATF,CDK2
NUP188,CDK2
DNAJC8,CDK2
POLR2A,CDK2
CDK2,CDK2
SEPT7,CDK2
AFG3L2,CDK2
XPO7,CDK2
CS,CDK2
TCEA1,CDK2
EIF3I,CDK2
RUVBL2,CDK2
HDAC2,CDK2
HNRNPA2B1,CDK2
LRPPRC,CDK2
HNRNPD,CDK2
SRRM1,CDK2
GNB1,CDK2
XRCC5,CDK2
CTDNEP1,CDK2
GPAA1,CDK2
ILF2,CDK2
KHDRBS1,CDK2
NONO,CDK2
YWHAQ,CDK2
SNRNP200,CDK2
SUMO2,CDK2
PABPN1,CDK2
SSB,CDK2
HNRNPU,CDK2
PRPF8,CDK2
TEX261,CDK2
GTF2A2,CDK2
PRKDC,CDK2
NAE1,CDK2
SSRP1,CDK2
H2AFZ,CDK2
BUB3,CDK2
SNRPA,CDK2
FUS,CDK2
DOCK3,CDK2
U2AF1,CDK2
PSMB7,CDK2
DEK,CDK2
NUDT1,CDK2
PCMT1,CDK2
STARD7,CDK2
HNRNPAB,CDK2
COPS6,CDK2
ZNF131,CDK2
CLTC,CDK2
ETF1,CDK2
SLC4A2,CDK2
DDB1,CDK2
SCARB1,CDK2
CAD,CDK2
CCT4,CDK2
EBP,CDK2
ESYT1,CDK2
PSMD2,CDK2
NUP62,CDK2
XPO6,CDK2
PWP1,CDK2
DYRK2,CDK2
ATXN2L,CDK2
POLR2C,CDK2
MCM2,CDK2
PKMYT1,CDK2
TCOF1,CDK2
RPA2,CDK2
ALDH4A1,DDB1
EHBP1,DDB1
DENND4A,DDB1
ANKRD17,DDB1
AHCYL1,DDB1
LANCL1,DDB1
KPNA6,DDB1
PRDX4,DDB1
AATF,DDB1
NUP188,DDB1
DNAJC8,DDB1
POLR2A,DDB1
BRD8,DDB1
NAP1L4,DDB1
CDK2,DDB1
PIN1,DDB1
SEPT7,DDB1
AFG3L2,DDB1
XPO7,DDB1
CS,DDB1
TCEA1,DDB1
RUVBL2,DDB1
HNRNPA2B1,DDB1
LRPPRC,DDB1
DDX39A,DDB1
CTDNEP1,DDB1
GPAA1,DDB1
ILF2,DDB1
KHDRBS1,DDB1
NONO,DDB1
YWHAQ,DDB1
SNRNP200,DDB1
SUMO2,DDB1
TIAL1,DDB1
SSB,DDB1
PRPF8,DDB1
TEX261,DDB1
PRKDC,DDB1
EPRS,DDB1
SSRP1,DDB1
TRRAP,DDB1
DOCK3,DDB1
PRPF31,DDB1
PHB2,DDB1
PDAP1,DDB1
CALM2,DDB1
IDH3B,DDB1
CANX,DDB1
STARD7,DDB1
DRG1,DDB1
PUF60,DDB1
HNRNPAB,DDB1
COPS6,DDB1
HUWE1,DDB1
DAP3,DDB1
PTPRA,DDB1
SMARCC2,DDB1
CLTC,DDB1
CUL1,DDB1
ZNHIT3,DDB1
ABR,DDB1
ATXN2,DDB1
VGLL4,DDB1
ARCN1,DDB1
UBE2A,DDB1
SARS,DDB1
RAB1A,DDB1
RAC1,DDB1
ILVBL,DDB1
MEA1,DDB1
MRPL28,DDB1
PPP1R11,DDB1
PSMB6,DDB1
ATP6V1F,DDB1
COX8A,DDB1
CAPZB,DDB1
CNOT3,DDB1
SLC4A2,DDB1
CSNK1G2,DDB1
SSR1,DDB1
TAF9,DDB1
RAF1,DDB1
ACTN4,DDB1
FOXK2,DDB1
SNAPC5,DDB1
PRPF4,DDB1
DIMT1,DDB1
METAP1,DDB1
HSPA8,DDB1
SDHA,DDB1
SART3,DDB1
NCBP2,DDB1
PARG,DDB1
SPCS2,DDB1
ABCF1,DDB1
MARS,DDB1
ACTL6A,DDB1
DDX46,DDB1
PMS2P3,DDB1
DEXI,DDB1
PARP2,DDB1
AGPAT1,DDB1
PHB,DDB1
