probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1704985,ILMN_2336609,-0.006,0.787,CYP27A1,SYTL2,0.56,0.074,0.999,0.669,0.127,2,11,219387910,85083465,NA,trans,3.80E-17
ILMN_1713124,ILMN_1701237,0.652,0,AKR1C3,SH2D1B,0.87,0.115,0.475,0.551,0.086,10,1,5137829,162365598,NA,trans,3.87E-17
ILMN_1737195,ILMN_2122952,-0.018,0.454,CENPK,CISD1,0.566,0.075,0.999,0.629,0.133,5,10,64853096,59707034,NA,trans,4.47E-17
ILMN_1759155,ILMN_1786328,0.614,0,IFIT1L,WDR40A,1,0.133,0.27,0.356,0.159,10,9,91134663,34076700,NA,trans,5.53E-17
ILMN_1681016,ILMN_1738369,0.371,0,SPNS1,TUFM,0.883,0.118,0.619,0.949,0.1,16,16,28903301,28761848,141453,cis,7.26E-17
ILMN_1699525,ILMN_2400219,0.65,0,SRI,SRI,0.911,0.123,0.495,0.47,0.091,7,7,87834872,87834720,152,cis,1.30E-16
ILMN_2313901,ILMN_1774604,-0.033,0.172,PAM,PNKD,-0.553,0.075,0.999,0.645,0.125,5,2,102340879,218919403,NA,trans,1.66E-16
ILMN_1704985,ILMN_2413331,-0.007,0.757,CYP27A1,TMEM107,-0.553,0.075,0.999,0.662,0.126,2,17,219387910,8017481,NA,trans,1.66E-16
ILMN_1754858,ILMN_1667022,0.816,0,PASK,PASK,1,0.137,0.325,0.335,0.071,2,2,242046884,242046095,789,cis,2.89E-16
ILMN_2074773,ILMN_2094396,0.07,0.003,KCNK6,LRRC8C,1,0.138,0.359,0.792,0.223,19,1,38819182,89952665,NA,trans,4.28E-16
ILMN_1699599,ILMN_1691693,0.524,0,FCRL3,FCRL3,0.951,0.133,0.556,0.54,0.109,1,1,157648456,155913075,1735381,cis,8.65E-16
ILMN_2334242,ILMN_1722492,0.712,0,CREB1,DUSP19,1,0.141,0.441,0.367,0.092,2,2,208171507,183672674,24498833,cis,1.32E-15
ILMN_1704985,ILMN_1658247,-0.074,0.002,CYP27A1,OAS1,-0.539,0.076,0.999,0.694,0.116,2,12,219387910,111839896,NA,trans,1.32E-15
ILMN_2341724,ILMN_1798947,0.762,0,ANKRD55,FLJ11795,1,0.142,0.282,0.345,0.098,5,5,55431746,55431830,84,cis,1.89E-15
ILMN_2118663,ILMN_1760503,-0.015,0.533,ERV3,ZBBX,0.535,0.076,0.999,0.47,0.152,7,3,64089138,168441387,NA,trans,1.93E-15
ILMN_1737195,ILMN_1735712,0.042,0.077,CENPK,KRT1,0.543,0.078,0.999,0.751,0.115,5,12,64853096,53068865,NA,trans,3.37E-15
ILMN_1721762,ILMN_1782178,-0.009,0.709,IL18RAP,LOC642946,-0.555,0.08,0.999,0.999,0.103,2,1,102435293,211096907,NA,trans,3.99E-15
ILMN_1798308,ILMN_2077504,-0.022,0.358,AHSA2,RNF160,-0.547,0.079,0.79,0.999,0.114,2,21,61267121,29222700,NA,trans,4.39E-15
ILMN_1713124,ILMN_1664464,0.445,0,AKR1C3,PTGDS,0.98,0.142,0.475,0.502,0.144,10,9,5137829,138994544,NA,trans,5.15E-15
ILMN_1772888,ILMN_1653469,0.744,0,LOC645688,RPL12,1,0.145,0.531,0.466,0.066,17,9,55866275,130213016,NA,trans,5.33E-15
ILMN_2411127,ILMN_1795836,0.649,0,C21ORF57,C21ORF57,0.931,0.135,0.633,0.342,0.094,21,21,46535686,46531282,4404,cis,5.34E-15
ILMN_2290808,ILMN_1731546,0.719,0,RPL21,RPL26,1,0.146,0.313,0.364,0.106,13,17,26723694,8285618,NA,trans,7.42E-15
