probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1720059,ILMN_2121316,0.03,0.217,HMBOX1,SCYL1BP1,-0.749,0.195,0.999,0.259,0.229,8,1,28965044,168788779,NA,trans,1.23E-07
ILMN_1676924,ILMN_1701237,0.466,0,CD247,SH2D1B,0.587,0.153,0.668,0.551,0.11,1,1,165666606,162365598,3301008,cis,1.25E-07
ILMN_2279367,ILMN_2262275,0.552,0,FCAR,TRIM13,0.863,0.225,0.44,0.26,0.163,19,13,60092082,49473132,NA,trans,1.25E-07
ILMN_2077504,ILMN_1785570,-0.038,0.112,RNF160,SUSD3,-0.583,0.152,0.999,0.29,0.188,21,9,29222700,94886967,NA,trans,1.25E-07
ILMN_2313901,ILMN_1765332,-0.065,0.007,PAM,TIMM10,0.387,0.101,0.999,0.999,0.101,5,11,102340879,57296016,NA,trans,1.27E-07
ILMN_1686478,ILMN_1810274,-0.019,0.426,HIST1H2AG,HOXB2,-1,0.261,0.263,0.999,0.245,6,17,27210195,46620338,NA,trans,1.27E-07
ILMN_1657398,ILMN_1739417,0.05,0.035,LOC284757,LOC644087,0.95,0.248,0.252,0.349,0.4,20,12,58332875,101688391,NA,trans,1.28E-07
ILMN_1661646,ILMN_1669881,0.458,0,BANK1,TSPAN13,0.918,0.24,0.28,0.342,0.216,4,7,103214492,16789855,NA,trans,1.31E-07
ILMN_1691071,ILMN_1669497,0.643,0,FCRLA,OSBPL10,0.734,0.192,0.394,0.31,0.139,1,3,159950596,31718961,NA,trans,1.32E-07
ILMN_1778360,ILMN_1726204,0.007,0.769,PYGB,SCRG1,0.382,0.1,0.999,0.799,0.108,20,4,25226301,174549060,NA,trans,1.33E-07
ILMN_1734707,ILMN_2279961,0.13,0,CHST13,LAMP2,0.848,0.222,0.999,0.285,0.193,3,X,126262040,119454540,NA,trans,1.34E-07
ILMN_1723846,ILMN_1725079,-0.112,0,FAM119B,TSPAN31,-0.691,0.181,0.999,0.295,0.181,12,12,56462454,56428139,34315,cis,1.35E-07
ILMN_2232177,ILMN_1793770,0.204,0,ACTN1,DNAJB6,0.962,0.252,0.422,0.59,0.2,14,7,68411162,156902552,NA,trans,1.35E-07
ILMN_2051900,ILMN_2162972,-0.395,0,EID2B,LYZ,-1,0.262,0.301,0.911,0.148,19,12,44713911,68033815,NA,trans,1.35E-07
ILMN_1671142,ILMN_2395981,0.517,0,GPR68,PYHIN1,1,0.262,0.306,0.302,0.203,14,1,91699107,157181386,NA,trans,1.35E-07
ILMN_1716276,ILMN_2319000,0.573,0,CCL4L2,MATK,1,0.262,0.265,0.308,0.191,17,19,31664916,3777979,NA,trans,1.35E-07
ILMN_1667232,ILMN_2055781,0.517,0,KIR2DL3,KLRF1,0.87,0.228,0.308,0.507,0.15,19,12,55264353,9888803,NA,trans,1.36E-07
ILMN_1721762,ILMN_1714401,0.047,0.047,IL18RAP,SNX27,0.381,0.1,0.999,0.275,0.179,2,1,102435293,149937900,NA,trans,1.39E-07
ILMN_1757636,ILMN_1801124,-0.008,0.754,C5ORF35,KIAA1826,0.605,0.159,0.999,0.272,0.204,5,11,56210793,105878942,NA,trans,1.42E-07
ILMN_2340259,ILMN_2205935,0.094,0,PDE4B,SFXN1,0.993,0.261,0.362,0.429,0.293,1,5,66611977,174887440,NA,trans,1.42E-07
ILMN_1794364,ILMN_2395981,0.472,0,CTSW,PYHIN1,0.833,0.219,0.53,0.302,0.16,11,1,65407708,157181386,NA,trans,1.43E-07
ILMN_2396991,ILMN_2208495,-0.026,0.271,HCST,LASS5,1,0.263,0.262,0.927,0.266,19,12,36395117,48810125,NA,trans,1.43E-07
ILMN_2221673,ILMN_1694223,0.003,0.909,ASNSD1,DGCR8,0.885,0.233,0.495,0.377,0.279,2,22,190240768,18479142,NA,trans,1.46E-07
ILMN_1778681,ILMN_1750130,0.014,0.551,EBF1,GSPT1,0.957,0.252,0.309,0.318,0.394,5,16,158058476,11874081,NA,trans,1.46E-07
ILMN_1678939,ILMN_1758864,0.637,0,VNN2,VNN2,0.744,0.196,0.33,0.324,0.149,6,6,133106828,133120672,13844,cis,1.47E-07
ILMN_1792607,ILMN_1684628,-0.036,0.134,OBP2A,ZFP90,-0.983,0.259,0.32,0.788,0.244,9,16,137579585,67158424,NA,trans,1.47E-07
ILMN_1740633,ILMN_2395981,0.632,0,PRF1,PYHIN1,0.812,0.214,0.287,0.302,0.159,10,1,72357383,157181386,NA,trans,1.48E-07
ILMN_2050023,ILMN_1782377,0.089,0,CCDC23,LOC440354,0.633,0.167,0.978,0.415,0.155,1,16,43045619,29556506,NA,trans,1.50E-07
ILMN_2397776,ILMN_1742230,0.112,0,ASB6,BAZ1A,1,0.264,0.381,0.34,0.315,9,14,132397206,35222191,NA,trans,1.52E-07
ILMN_1716276,ILMN_1793549,0.588,0,CCL4L2,PTPN4,1,0.264,0.265,0.375,0.167,17,2,31664916,120451383,NA,trans,1.52E-07
ILMN_2366041,ILMN_2193233,0.604,0,ITM2C,MGC29506,1,0.264,0.37,0.275,0.159,2,5,231451845,138751302,NA,trans,1.52E-07
ILMN_2349444,ILMN_1778347,0.621,0,NUDT2,NUDT2,1,0.264,0.353,0.96,0.083,9,9,34333324,34333384,60,cis,1.52E-07
ILMN_1739586,ILMN_1803561,0.046,0.056,FEZ2,PLA2G4A,0.995,0.263,0.842,0.394,0.211,2,1,36779555,185224358,NA,trans,1.55E-07
ILMN_1710207,ILMN_1666192,0.042,0.082,C10ORF6,DCTN5,-0.401,0.106,0.54,0.962,0.139,10,16,102714680,23588370,NA,trans,1.55E-07
ILMN_1813950,ILMN_1768099,0.529,0,LOC653486,SCGB1C1,0.813,0.215,0.323,0.329,0.177,17,11,59102,184486,NA,trans,1.56E-07
ILMN_1782551,ILMN_1748123,0.391,0,E2F5,KLHL14,0.794,0.21,0.3,0.481,0.19,8,18,86124431,30253138,NA,trans,1.56E-07
ILMN_1691071,ILMN_2143314,0.482,0,FCRLA,SPIB,0.949,0.251,0.394,0.258,0.203,1,19,159950596,55623758,NA,trans,1.56E-07
ILMN_1661432,ILMN_2400219,-0.03,0.214,NUP43,SRI,-0.548,0.145,0.918,0.47,0.153,6,7,150087211,87834720,NA,trans,1.57E-07
ILMN_1748476,ILMN_2340259,0.15,0,NOP58,PDE4B,0.944,0.25,0.337,0.362,0.302,2,1,202876425,66611977,NA,trans,1.59E-07
ILMN_1691942,ILMN_1752303,0.28,0,CCNI,YY1AP1,1,0.265,0.374,0.262,0.294,4,1,78188396,155629286,NA,trans,1.61E-07
ILMN_2377669,ILMN_1742026,0.365,0,CD247,PYHIN1,1,0.265,0.319,0.378,0.234,1,1,165666584,157181319,8485265,cis,1.61E-07
ILMN_1874689,ILMN_1676099,0.373,0,HS.554507,SPON2,1,0.265,0.313,0.272,0.275,9,4,126462570,1151074,NA,trans,1.61E-07
ILMN_1811049,ILMN_1763602,-0.017,0.486,POU2AF1,ZNF423,-0.973,0.258,0.351,0.306,0.378,11,16,110728486,49557560,NA,trans,1.62E-07
ILMN_1721762,ILMN_1722276,-0.048,0.044,IL18RAP,PAFAH1B1,-0.494,0.131,0.999,0.276,0.185,2,17,102435293,2535219,NA,trans,1.63E-07
ILMN_1676528,ILMN_1753782,0.12,0,BTN3A2,ZNF266,-0.373,0.099,0.999,0.999,0.104,6,19,26378113,9523350,NA,trans,1.65E-07
ILMN_2050023,ILMN_1874689,-0.021,0.376,CCDC23,HS.554507,0.663,0.176,0.978,0.313,0.2,1,9,43045619,126462570,NA,trans,1.65E-07
ILMN_1666078,ILMN_2352023,-0.01,0.663,HLA-H,RIPK5,-0.414,0.11,0.742,0.999,0.113,6,1,29859670,203378372,NA,trans,1.67E-07
ILMN_1804854,ILMN_1707088,-0.195,0,CTNNA1,DENND2D,-0.587,0.156,0.999,0.499,0.124,5,1,138260394,111730014,NA,trans,1.68E-07
ILMN_1778347,ILMN_2167729,0.043,0.073,NUDT2,ZNF391,0.707,0.188,0.96,0.339,0.186,9,6,34333384,27368974,NA,trans,1.69E-07
ILMN_1654151,ILMN_1668540,-0.158,0,COX6C,ZNHIT6,-1,0.266,0.288,0.324,0.352,8,1,100973328,86118751,NA,trans,1.70E-07
ILMN_2208495,ILMN_2375319,-0.003,0.897,LASS5,RASGRP2,-1,0.266,0.927,0.282,0.249,12,11,48810125,64251114,NA,trans,1.70E-07
ILMN_1708041,ILMN_1740633,0.664,0,PLEKHF1,PRF1,1,0.266,0.334,0.287,0.139,19,10,30166200,72357383,NA,trans,1.70E-07
ILMN_1691071,ILMN_1811049,0.532,0,FCRLA,POU2AF1,0.804,0.214,0.394,0.351,0.154,1,11,159950596,110728486,NA,trans,1.72E-07
ILMN_1897741,ILMN_2325028,-0.031,0.198,HS.137971,ODF2L,-0.68,0.181,0.624,0.654,0.166,5,1,10490848,86820222,NA,trans,1.72E-07
ILMN_1667903,ILMN_1752932,-0.038,0.115,LOC653043,MPZL2,0.695,0.185,0.425,0.809,0.195,9,11,39725944,118124223,NA,trans,1.72E-07
ILMN_1723116,ILMN_1773459,0.016,0.502,AMFR,SOX11,0.477,0.127,0.999,0.329,0.173,16,2,56395777,5758793,NA,trans,1.73E-07
ILMN_1659227,ILMN_2082593,-0.102,0,CD79A,KIR3DL3,-0.935,0.249,0.315,0.31,0.355,19,19,42383286,59939601,17556315,cis,1.73E-07
ILMN_2171596,ILMN_1815205,-0.003,0.913,LOC441257,LYZ,-0.653,0.174,0.343,0.921,0.192,7,12,72134243,68032310,NA,trans,1.75E-07
ILMN_1700316,ILMN_1731546,0.574,0,LOC440055,RPL26,0.694,0.185,0.46,0.364,0.136,11,17,74134847,8285618,NA,trans,1.76E-07
ILMN_1798177,ILMN_1684628,-0.025,0.292,CHURC1,ZFP90,-0.375,0.1,0.999,0.788,0.107,14,16,64471249,67158424,NA,trans,1.77E-07
ILMN_1734707,ILMN_1716596,0.008,0.74,CHST13,NSMAF,0.712,0.19,0.999,0.29,0.205,3,8,126262040,59658761,NA,trans,1.79E-07
ILMN_1757636,ILMN_1738866,-0.059,0.013,C5ORF35,DEXI,-0.663,0.177,0.999,0.269,0.198,5,16,56210793,11022897,NA,trans,1.80E-07
